incident_id,service,issue,workflow,resolution,priority,severity,scope,confidence,impact,frequency,annotation,,
INC-501,Kubernetes,Pod crash looping,Phase 1 - Alert Verification: Acknowledge alert in monitoring dashboard and verify pod status via kubectl get pods; Phase 2 - Diagnosis: Inspect pod logs using kubectl logs --previous to identify crash reason; Phase 3 - Remediation: Check resource limits and adjust if OOMKilled; Phase 4 - Validation: Monitor pod stability for 15 minutes; Phase 5 - Closure: Document root cause in incident ticket.,Adjusted resource limits and restarted pod. Verified stability via monitoring dashboard. No further crashes observed within 15 minute window. Incident closed after stakeholder notification.,Critical,critical,system-wide,0.94,catastrophic,one-off,Requires Platform Engineering escalation if crash persists after resource adjustment. SLA breach risk high. Mandatory post-incident review within 24 hours. Update runbook K8S-001 with specific OOM patterns observed.,,
INC-502,MessageBus,Consumer lag exceeding threshold,Step 1 - Triage: Confirm lag metrics via Grafana dashboard and identify affected topic partitions; Step 2 - Investigation: Check consumer group status and identify slow consumers; Step 3 - Action: Scale consumer instances horizontally to handle backlog; Step 4 - Verification: Monitor lag reduction rate and ensure throughput matches production rate; Step 5 - Follow-up: Review consumer logic for bottlenecks if lag persists.,Scaled consumer group from 5 to 10 instances. Lag reduced to zero within 20 minutes. Verified message processing rate matches producer rate. Incident resolved after confirming no data loss.,High,high,multi-service,0.89,major,recurring,Escalate to Data Engineering if scaling does not reduce lag within 30 minutes. Check for poison messages in dead letter queue. Update capacity planning model based on this spike.,,
INC-503,APIGateway,Rate limit exceeded for tenant,Procedure 1 - Identify: Check API Gateway logs for 429 responses and identify offending tenant ID; Procedure 2 - Contact: Notify tenant account manager regarding limit breach; Procedure 3 - Mitigate: Temporarily increase rate limit quota if business critical; Procedure 4 - Monitor: Watch traffic patterns for abuse vs legitimate spike; Procedure 5 - Document: Log quota change in billing system for reconciliation.,Temporarily increased rate limit quota by 50% for critical tenant. Notified account manager to discuss permanent plan upgrade. Monitored traffic for 1 hour to ensure stability. Quota change logged in billing system.,Medium,medium,single-service,0.82,moderate,recurring,Security team must approve quota increases exceeding 100%. Ensure tenant is not exhibiting DDoS behavior. Review billing tier eligibility after incident closure.,,
INC-504,ObjectStorage,Bucket policy misconfiguration,Phase 1 - Detection: Review CloudTrail logs for unauthorized access attempts; Phase 2 - Analysis: Compare current bucket policy against security baseline template; Phase 3 - Correction: Revert policy to private access unless public access is explicitly required; Phase 4 - Validation: Run security scanner to confirm no public exposure; Phase 5 - Notification: Inform security team of configuration drift.,Reverted bucket policy to private access. Validated via security scanner that no public access exists. Notified security team for audit log review. Configuration drift documented in change management system.,Critical,critical,multi-service,0.96,catastrophic,one-off,Immediate escalation to Security Lead required. Potential data breach risk. Initiate incident response protocol if unauthorized access confirmed. Mandatory security review within 4 hours.,,
INC-505,SecretsManager,Secret rotation failure,Step 1 - Alert: Acknowledge rotation failure alert from secrets manager; Step 2 - Diagnose: Check rotation lambda logs for permission errors or API failures; Step 3 - Fix: Update IAM policies to grant required rotation permissions; Step 4 - Retry: Manually trigger rotation process and verify success; Step 5 - Verify: Confirm applications can retrieve new secret version without interruption.,Updated IAM policy to allow secretsmanager:PutSecretValue. Manually triggered rotation successfully. Verified application connectivity using new secret version. No service interruption reported.,High,high,single-service,0.88,major,one-off,Escalate to Security Engineering if rotation fails twice. Ensure all dependent services are updated with new secret version. Audit IAM policies for least privilege compliance.,,
INC-506,LogAggregator,Pipeline backlog increasing,Phase 1 - Assessment: Check Logstash/Elasticsearch queue depth and ingestion rates; Phase 2 - Resource Check: Verify CPU and memory usage on aggregator nodes; Phase 3 - Scaling: Add additional aggregator nodes to distribute load; Phase 4 - Optimization: Adjust batch sizes and flush intervals for better throughput; Phase 5 - Monitoring: Confirm backlog clearance and stable ingestion rates.,Added 2 aggregator nodes to cluster. Adjusted batch size to 5000 events. Backlog cleared within 45 minutes. Ingestion rates stabilized at normal levels. Monitoring confirmed no data loss.,Medium,medium,multi-service,0.79,moderate,recurring,Contact Observability Team if backlog exceeds 1 hour worth of data. Review log retention policies to manage storage costs. Update alerting thresholds based on new baseline capacity.,,
INC-507,DataPipeline,ETL job failure due to schema change,Step 1 - Identify: Check orchestration dashboard for failed job status and error logs; Step 2 - Analyze: Compare source schema with expected schema to identify mismatches; Step 3 - Remediate: Update transformation logic to handle new schema fields; Step 4 - Replay: Re-run failed job from last successful checkpoint; Step 5 - Validate: Verify data integrity in target warehouse tables.,Updated transformation logic to map new source fields. Replayed job from checkpoint successfully. Verified row counts and checksums in target warehouse. Data integrity confirmed via automated tests.,High,high,multi-service,0.85,major,one-off,Notify Data Product Owner of schema change impact. Implement schema evolution strategy to prevent future failures. Update data dictionary with new field definitions.,,
INC-508,ConfigServer,Configuration drift detected,Phase 1 - Detection: Run configuration compliance scan against git repository baseline; Phase 2 - Identification: List specific parameters that differ from baseline; Phase 3 - Correction: Push correct configuration from repository to server; Phase 4 - Verification: Re-run compliance scan to confirm drift resolution; Phase 5 - Audit: Investigate cause of manual change to prevent recurrence.,Pushed correct configuration from git repository. Compliance scan passed with 100% match. Investigated change log and identified manual override by engineer. Reinforced change management policy.,Low,low,multi-service,0.75,minor,recurring,Escalate to Platform Lead if drift recurs within 24 hours. Ensure all changes go through pull request process. Update automation to prevent manual overrides.,,
INC-509,ServiceMesh,Sidecar proxy high latency,Step 1 - Monitor: Check service mesh telemetry for increased proxy latency; Step 2 - Trace: Use distributed tracing to identify slow service hops; Step 3 - Tune: Adjust proxy resource limits and connection pool settings; Step 4 - Restart: Rolling restart of sidecar proxies to apply changes; Step 5 - Validate: Confirm latency returns to baseline levels via dashboard.,Adjusted sidecar CPU limits and connection pool size. Performed rolling restart of proxies. Latency returned to baseline within 10 minutes. Tracing confirmed no bottlenecks.,Medium,medium,system-wide,0.81,moderate,recurring,Engage Network Team if latency persists after tuning. Review mesh configuration for inefficient routing rules. Update performance baseline documentation.,,
INC-510,CDN,Cache hit ratio drop,Phase 1 - Analysis: Review CDN analytics for cache hit ratio trends and miss patterns; Phase 2 - Investigation: Check origin server health and TTL configurations; Phase 3 - Optimization: Increase TTL for static assets and purge stale content; Phase 4 - Verification: Monitor hit ratio improvement over next hour; Phase 5 - Documentation: Record configuration changes in CDN management portal.,Increased TTL for static assets to 7 days. Purged stale content from edge nodes. Cache hit ratio improved from 60% to 90%. Origin load reduced significantly. Changes documented in portal.,Low,low,system-wide,0.72,minor,recurring,Contact CDN Provider if hit ratio does not improve. Review content versioning strategy to avoid unnecessary purges. Optimize origin shield configuration.,,
